Title,Price,Area,Location
Waterford - House,"$55,000",3500 m²,bulawayo east
Ballantyne Park - House,"$395,000",4000 m²,harare north
Highfield - House,"$34,800",380 m²,harare high density
Borrowdale - House,"$190,000",250 m²,harare north
Burnside - House,"$180,000",4524 m²,bulawayo east
Borrowdale - House,"$380,000",3000 m²,harare north
Ruwa - House,"$48,000",400 m²,ruwa
Suburbs - House,"$350,000",3172 m²,bulawayo east
Colne Valley - House,"$700,000",4000 m²,harare north
Bradfield - House,"$145,000",1 bathrooms,bulawayo south
Kumalo - House,"$155,000",1 m²,bulawayo east
Burnside - House,"$100,000",1 m²,bulawayo east
Budiriro - House,"$40,000",400 m²,harare high density
Goodhope - House,"$146,000",3290 m²,harare west
Hatfield - House,"$237,000",5500 m²,harare south
Hatcliffe - House,"$48,000",1016 m²,harare high density
Crowhill Views - House,"$90,000",1250 m²,harare north
Borrowdale - House,"$350,000",5300 m²,harare north
Marlborough - House,"$155,000",2001 m²,harare west
Kambuzuma - House,"$30,000",250 m²,harare high density
Haydon Park - House,"$90,000",1250 m²,harare west
Nketa - House,"$23,000",550 m²,bulawayo high density
Southwold - House,"$58,000",1041 m²,bulawayo south
Southlea Park - House,"$45,000",200 m²,harare south
Norton - House,"$45,000",300 m²,norton
Borrowdale - House,"$380,000",2000 m²,harare north
Alexandra Park - House,"$850,000",4047 m²,harare north
Eastlea - House,"$68,000",1000 m²,harare east
Marlborough - House,"$1,150,000",8239 m²,harare west
Southview Park - House,"$58,000",240 m²,harare south
Glen View - House,"$26,000",200 m²,harare high density
Msasa Park - House,"$78,000",580 m²,harare south
Budiriro - House,"$44,000",400 m²,harare high density
"Chitungwiza - House, House","$25,000",200 m²,chitungwiza
Ruwa - House,"$60,000",2318 m²,ruwa
"Victoria Falls - House, Townhouse Complex","$335,000",644 m²,victoria falls
Bloomingdale - House,"$115,000",500 m²,harare west
Norton - House,"$30,000",200 m²,norton
Msasa Park - House,"$65,000",400 m²,harare south
Masvingo - House,"$215,000",2145 m²,masvingo
Glen Lorne - House,"$700,000",31000 m²,harare north
Chadcombe - House,"$110,000",4300 m²,harare south
"Zimre Park - House, House","$110,000",860 m²,harare east
Avondale West - House,"$115,000",1 bathrooms,harare west
Marlborough - House,"$190,000",3300 m²,harare west
Norton - House,"$120,000",2104 m²,norton
Zimre Park - House,"$58,000",800 m²,harare east
Zimre Park - House,"$85,000",650 m²,harare east
Suburbs - House,"$980,000",18212 m²,bulawayo east
Chadcombe - House,"$105,000",1551 m²,harare south
Greendale - House,"$340,000",4263 m²,harare east
"Aspindale Park - House, Townhouse Complex","$75,000",200 m²,harare west
"Riverside South - House, Townhouse Complex","$330,000",8000 m²,bulawayo east
Norton - House,"$18,000",650 m²,norton
Kumalo - House,"$160,000",2718 m²,bulawayo east
Borrowdale Brooke - House,"$2,900,000",4047 m²,harare north
Zengeza - House,"$23,000",300 m²,chitungwiza
Greencroft - House,"$115,000",1200 m²,harare west
"Hogerty Hill - House, Townhouse Complex","$250,000",8094 m²,harare north
Crowhill Views - House,"$45,000",2643 m²,harare north
Avondale - House,"$220,000",1743 m²,harare north
Marimba Park - House,"$78,000",1200 m²,harare high density
Bluff Hill - House,"$247,000",3754 m²,harare west
"Cowdray Park - House, Townhouse Complex","$26,000",200 m²,bulawayo high density
"Newlands - House, Townhouse Complex","$160,000",4047 m²,harare north
"Highlands - House, Townhouse Complex","$250,000",500 m²,harare north
Waterfalls - House,"$130,000",5000 m²,harare south
Glen View - House,"$33,000",300 m²,harare high density
Aspindale Park - House,"$80,000",302 m²,harare west
Mabvuku - House,"$20,000",300 m²,harare high density
Parktown - House,"$120,000",4100 m²,harare south
Chisipite - House,"$795,000",4247 m²,harare north
Zengeza - House,"$35,000",320 m²,chitungwiza
Borrowdale - House,"$300,000",4161 m²,harare north
"Kariba - House, Townhouse Complex","$150,000",2000 m²,kariba
Mabvuku - House,"$28,000",300 m²,harare high density
Rockview - House,"$85,000",1109 m²,harare east
Mufakose - House,"$29,000",300 m²,harare high density
Epworth - House,"$18,000",200 m²,harare high density
Tynwald - House,"$120,000",500 m²,harare west
Norton - House,"$55,000",3325 m²,norton
Beitbridge - House,"$245,000",2508 m²,beitbridge
Eastlea - House,"$250,000",2000 m²,harare east
Msasa Park - House,"$70,000",375 m²,harare south
Westgate - House,"$175,000",1000 m²,harare west
Mahatshula - House,"$35,000",1 bathrooms,bulawayo north
Mabelreign - House,"$110,000",900 m²,harare west
Mainway Meadows - House,"$80,000",525 m²,harare south
Cowdray Park - House,"$27,000",300 m²,bulawayo high density
"Eastlea - House, House","$290,000",1095 m²,harare east
Greendale North - House,"$340,000",8800 m²,harare north
"Kensington - House, Townhouse Complex","$180,000",4201 m²,harare west
Westgate - House,"$260,000",2235 m²,harare west
Manyame Park - House,"$35,000",200 m²,chitungwiza
Kumalo - House,"$260,000",3 bathrooms,bulawayo east
Rydale Ridge - House,"$25,000",300 m²,harare high density
Crowhill Views - House,"$15,000",1200 m²,harare north
Avondale - House,"$140,000",904 m²,harare north
Westgate - House,$105,1000 m²,harare west
Shawasha Hills - House,"$1,000,000",10900 m²,harare north
Northend - House,"$120,000",1 bathrooms,bulawayo north
Glen View - House,"$38,000",200 m²,harare high density
Norton - House,"$120,000",2100 m²,norton
"Avenues - House, Townhouse Complex","$135,000",10560 m²,harare cbd
Burnside - House,"$350,000",20235 m²,bulawayo east
Sandton Park - House,"$70,000",1800 m²,harare west
Logan Park - House,"$100,000",2100 m²,harare south
Fern valley - House,"$240,000",8000 m²,mutare
Epworth - House,"$15,000",200 m²,harare high density
Hillside - House,"$145,000",3718 m²,bulawayo south
Glen Lorne - House,"$320,000",4000 m²,harare north
Mandara - House,"$310,000",4000 m²,harare east
Four Winds - House,"$155,000",4800 m²,bulawayo south
Budiriro - House,"$45,000",300 m²,harare high density
Killarney - House,"$82,000",4747 m²,bulawayo east
"Bluff Hill - House, Townhouse Complex","$125,000",1 bathrooms,harare west
Nketa - House,"$30,000",300 m²,bulawayo high density
Highlands - House,"$400,000",4500 m²,harare north
Killarney - House,"$70,000",4449 m²,bulawayo east
Norton - House,"$80,000",2000 m²,norton
Budiriro - House,"$35,000",300 m²,harare high density
Zengeza - House,"$21,000",148 m²,chitungwiza
Northend - House,"$85,000",1430 m²,bulawayo north
Ballantyne Park - House,"$680,000",4067 m²,harare north
Glen View - House,"$35,000",200 m²,harare high density
Glen View - House,"$37,500",300 m²,harare high density
Waterfalls - House,"$100,000",544 m²,harare south
Marimba Park - House,"$80,000",880 m²,harare high density
Southview Park - House,"$29,000",300 m²,harare south
Ballantyne Park - House,"$730,000",4021 m²,harare north
Victoria Falls - House,"$67,000",490 m²,victoria falls
Borrowdale Brooke - House,"$500,000",1200 m²,harare north
Stoneridge - House,"$30,000",300 m²,harare south
Newlands - House,"$580,000",4047 m²,harare north
Ruwa - House,"$48,000",400 m²,ruwa
"Greendale - House, Townhouse Complex","$225,000",2 bathrooms,harare east
Arlington - House,"$130,000",320 m²,harare south
Lewisam - House,"$490,000",4000 m²,harare north
Chitungwiza - House,"$35,000",650 m²,chitungwiza
Ruwa - House,"$50,000",1100 m²,ruwa
Crowhill Views - House,"$62,000",1400 m²,harare north
Norton - House,"$40,000",2178 m²,norton
Borrowdale West - House,"$240,000",2200 m²,harare north
Budiriro - House,"$48,000",450 m²,harare high density
Highfield - House,"$28,000",150 m²,harare high density
Manresa - House,"$95,000",555 m²,harare east
Marlborough - House,"$90,000",2012 m²,harare west
Msasa Park - House,"$68,000",400 m²,harare south
Highlands - House,"$395,000",4658 m²,harare north
Bradfield - House,"$138,000",1 m²,bulawayo south
Tafara - House,"$30,000",250 m²,harare high density
Upper Hillside - House,"$150,000",1371 m²,harare east
Warren Park - House,"$45,000",5 bedrooms,harare high density
Aspindale Park - House,"$65,000",320 m²,harare west
Cold Comfort - House,"$69,000",472 m²,harare west
Mbizo - House,"$30,000",300 m²,kwekwe
Zimre Park - House,"$120,000",1000 m²,harare east
Mandara - House,"$280,000",4055 m²,harare east
Banket - House,"$55,000",2800 m²,banket
Damofalls - House,"$18,000",200 m²,damofalls
Umwinsidale - House,"$3,400,000",32000 m²,harare north
Warren Park - House,"$45,000",5 bedrooms,harare high density
Aspindale Park - House,"$65,000",320 m²,harare west
Cold Comfort - House,"$69,000",472 m²,harare west
Madokero - House,"$115,000",400 m²,harare west
Mbizo - House,"$30,000",300 m²,kwekwe
Zimre Park - House,"$120,000",1000 m²,harare east
Mandara - House,"$280,000",4055 m²,harare east
Banket - House,"$55,000",2800 m²,banket
Damofalls - House,"$18,000",200 m²,damofalls
Umwinsidale - House,"$3,400,000",32000 m²,harare north
Glen Lorne - House,"$415,000",9400 m²,harare north
Helensvale - House,"$1,500,000",15110 m²,harare north
Fern valley - House,"$120,000",11935 m²,mutare
Selbourne Park - House,"$90,000",1201 m²,bulawayo east
Mt Pleasant Heights - House,"$190,000",2000 m²,harare west
Kambanji - House,"$250,000",4647 m²,harare north
Warren Park - House,"$50,000",300 m²,harare high density
Hillside - House,"$220,000",4100 m²,bulawayo south
Crowhill Views - House,"$70,000",1200 m²,harare north
Helensvale - House,"$280,000",4300 m²,harare north
Cold Comfort - House,"$70,000",400 m²,harare west
Hillside - House,"$30,000",630 m²,bulawayo south
"Darwendale - House, House","$50,000",2000 m²,darwendale
Cowdray Park - House,"$25,000",200 m²,bulawayo high density
Greystone Park - House,"$260,000",4048 m²,harare north
St. Marys - House,"$24,000",300 m²,chitungwiza
"Arlington - House, Townhouse Complex","$125,000",365 m²,harare south
Glen Lorne - House,"$550,000",9499 m²,harare north
Chitungwiza - House,"$25,000",250 m²,chitungwiza
Rockview - House,"$40,000",960 m²,harare east
KweKwe - House,"$28,000",300 m²,kwekwe
"Hume Park - Townhouse Complex, House","$90,000",1 m²,bulawayo east
Fitchlea - House,"$75,000",1000 m²,kwekwe
Mandara - House,"$450,000",4040 m²,harare east
"Tynwald - House, Townhouse Complex","$53,000",200 m²,harare west
Rainham - House,"$220,000",17000 m²,harare west
Arlington - House,"$140,000",600 m²,harare south
Eastlea - House,"$140,000",1000 m²,harare east
Mabelreign - House,"$120,000",964 m²,harare west
"Borrowdale - House, House","$320,000",4164 m²,harare north
Tynwald - House,"$47,000",370 m²,harare west
Hogerty Hill - House,"$550,000",4378 m²,harare north
Ilanda - House,"$140,000",1 bathrooms,bulawayo east
Quinnington - House,"$270,000",1300 m²,harare north
Zengeza - House,"$27,000",450 m²,chitungwiza
Mainway Meadows - House,"$100,000",425 m²,harare south
Goodhope - House,"$75,000",1836 m²,harare west
Mainway Meadows - House,"$90,000",543 m²,harare south
New Marlborough - House,"$140,000",600 m²,harare west
Hatfield - House,"$199,000",5625 m²,harare south
Zimre Park - House,"$140,000",1000 m²,harare east
Hillside - House,"$285,000",4362 m²,bulawayo south
Glen View - House,"$35,000",300 m²,harare high density
Southview Park - House,"$50,000",240 m²,harare south
Greystone Park - House,"$340,000",4139 m²,harare north
Borrowdale West - House,"$220,000",2000 m²,harare north
Kuwadzana - House,"$35,000",200 m²,harare high density
Damofalls - House,"$48,000",300 m²,damofalls
Helensvale - House,"$360,000",2000 m²,harare north
Bluff Hill - House,"$165,000",500 m²,harare west
Hillside - House,"$250,000",2000 m²,bulawayo south
Arlington - House,"$120,000",400 m²,harare south
Zimre Park - House,"$90,000",800 m²,harare east
Suburbs - House,"$600,000",1 m²,bulawayo east
Northwood - House,"$900,000",4047 m²,harare north
Tynwald - House,"$40,000",200 m²,harare west
Tafara - House,"$21,000",800 m²,harare high density
Emganwini - House,"$16,000",300 m²,bulawayo high density
Charlotte Brooke - House,"$100,000",1200 m²,harare north
Glen Norah - House,"$53,000",637 m²,harare high density
Eastlea - House,"$250,000",1500 m²,harare east
Damofalls - House,"$55,000",648 m²,damofalls
Southlea Park - House,"$30,000",200 m²,harare south
Arlington - House,"$129,000",2002 m²,harare south
Ashdown Park - House,"$135,000",998 m²,harare west
Mandara - House,"$295,000",4159 m²,harare east
Burnside - House,"$120,000",1 bathrooms,bulawayo east
Budiriro - House,"$21,000",300 m²,harare high density
"Marlborough - House, Townhouse Complex","$200,000",4000 m²,harare west
Tynwald - House,"$100,000",400 m²,harare west
Hogerty Hill - House,"$274,000",77 m²,harare north
Morningside - House,"$130,000",1 m²,bulawayo south
Domboshawa - House,"$50,000",3500 m²,domboshawa
"Mahatshula - House, House","$95,000",3 bedrooms,bulawayo north
Zengeza - House,"$26,500",300 m²,chitungwiza
Marondera - House,"$40,000",320 m²,marondera
Mainway Meadows - House,"$70,000",588 m²,harare south
Zengeza - House,"$15,000",300 m²,chitungwiza
Parktown - House,"$75,000",1000 m²,harare south
Colne Valley - House,"$2,500,000",3992 m²,harare north
Cold Comfort - House,"$29,000",440 m²,harare west
Waterfalls - House,"$110,000",1500 m²,harare south
Chegutu - House,"$35,000",300 m²,chegutu
Ballantyne Park - House,"$395,000",4047 m²,harare north
Waterfalls - House,"$165,000",4164 m²,harare south
Highlands - House,"$700,000",7102 m²,harare north
Glen Lorne - House,"$680,000",3000 m²,harare north
Waterfalls - House,"$65,000",500 m²,harare south
New Marlborough - House,"$100,000",850 m²,harare west
Adelaide Park - House,"$22,000",200 m²,harare high density
New Marlborough - House,"$135,000",504 m²,harare west
Budiriro - House,"$30,000",300 m²,harare high density
Vainona - House,"$380,000",5069 m²,harare north
Tynwald - House,"$40,000",280 m²,harare west
Avondale - House,"$750,000",4000 m²,harare north
Budiriro - House,"$20,000",150 m²,harare high density
Westgate - House,"$120,000",850 m²,harare west
Greystone Park - House,"$778,000",4000 m²,harare north
Morningside - House,"$140,000",1815 m²,bulawayo south
Philadelphia - House,"$1,100,000",4200 m²,harare north
"Newlands - House, Townhouse Complex","$180,000",2 bathrooms,harare north
Chitungwiza - House,"$28,000",300 m²,chitungwiza
Adelaide Park - House,"$25,000",400 m²,harare high density
Charlotte Brooke - House,"$70,000",1000 m²,harare north
Kumalo - House,"$315,000",4688 m²,bulawayo east
Zimre Park - House,"$72,000",3 bedrooms,harare east
Burnside - House,"$530,000",5338 m²,bulawayo east
Mkoba - House,"$18,000",300 m²,gweru
"Philadelphia - House, Townhouse Complex","$280,000",300 m²,harare north
Tynwald - House,"$60,000",200 m²,harare west
Highfield - House,"$35,000",250 m²,harare high density
Damofalls - House,"$55,000",300 m²,damofalls
Ilanda - House,"$220,000",2 bathrooms,bulawayo east
Crowhill Views - House,"$39,000",1000 m²,harare north
Southview Park - House,"$49,000",240 m²,harare south
Glen View - House,"$35,000",200 m²,harare high density
Zimre Park - House,"$95,000",630 m²,harare east
"Helensvale - House, House","$338,000",4047 m²,harare north
Morningside - House,"$130,000",1815 m²,bulawayo south
Ilanda - House,"$170,000",2963 m²,bulawayo east
Mandara - House,"$350,000",4047 m²,harare east
Whitecliff - House,"$80,000",1800 m²,harare west
Hatfield - House,"$125,000",3860 m²,harare south
Glen Lorne - House,"$3,000,000",13500 m²,harare north
Highlands - House,"$300,000",3100 m²,harare north
Eastlea - House,"$200,000",1190 m²,harare east
Victoria Falls - House,"$130,000",3 bedrooms,victoria falls
Southlea Park - House,"$38,000",450 m²,harare south
Borrowdale Brooke - House,"$580,000",1200 m²,harare north
Avondale - House,"$350,000",2074 m²,harare north
Marondera - House,"$25,000",1000 m²,marondera
Avondale West - House,"$150,000",1980 m²,harare west
Mount Pleasant - House,"$150,000",2034 m²,harare north
Eastlea - House,"$190,000",1200 m²,harare east
Southlea Park - House,"$16,000",200 m²,harare south
Glen Norah - House,"$36,000",300 m²,harare high density
Hatfield - House,"$150,000",4435 m²,harare south
Glen Norah - House,"$40,000",212 m²,harare high density
Ruwa - House,"$45,000",400 m²,ruwa
Ballantyne Park - House,"$680,000",4047 m²,harare north
"Marlborough - House, Townhouse Complex","$98,000",984 m²,harare west
Budiriro - House,"$33,000",300 m²,harare high density
Glaudina - House,"$78,000",600 m²,harare west
Burnside - House,"$70,000",4000 m²,bulawayo east
Southview Park - House,"$42,000",250 m²,harare south
Hogerty Hill - House,"$450,000",2400 m²,harare north
Suburbs - House,"$170,000",1 bathrooms,bulawayo east
Zengeza - House,"$33,000",300 m²,chitungwiza
Hatfield - House,"$165,000",4000 m²,harare south
Ballantyne Park - House,"$680,000",4020 m²,harare north
Springvale - House,"$56,000",300 m²,ruwa
Budiriro - House,"$33,000",300 m²,harare high density
Glen Lorne - House,"$390,000",3170 m²,harare north
Suburbs - House,"$95,000",1 bathrooms,bulawayo east
Burnside - House,"$135,000",5280 m²,bulawayo east
Matsheumhlope - House,"$250,000",8000 m²,bulawayo east
Colne Valley - House,"$2,000,000",4047 m²,harare north
Bulawayo City Centre - House,"$85,000",833 m²,bulawayo cbd industrial
Hillside - House,"$150,000",3900 m²,bulawayo south
Entumbane - House,"$32,000",200 m²,bulawayo north
Mainway Meadows - House,"$100,000",678 m²,harare south
Chitungwiza - House,"$26,000",197 m²,chitungwiza
Haig Park - House,"$85,000",920 m²,harare west
Zengeza - House,"$19,000",134 m²,chitungwiza
Warren Park - House,"$50,000",450 m²,harare high density
Braeside - House,"$130,000",600 m²,harare south
Damofalls - House,"$38,000",300 m²,damofalls
Rydale Ridge Park - House,"$45,000",300 m²,harare west
Borrowdale - House,"$450,000",2900 m²,harare north
Greencroft - House,"$230,000",950 m²,harare west
Zengeza - House,"$19,000",134 m²,chitungwiza
Warren Park - House,"$50,000",450 m²,harare high density
Braeside - House,"$130,000",600 m²,harare south
Damofalls - House,"$38,000",300 m²,damofalls
Rydale Ridge Park - House,"$45,000",300 m²,harare west
Borrowdale - House,"$450,000",2900 m²,harare north
Greencroft - House,"$230,000",950 m²,harare west
Greystone Park - House,"$280,000",4000 m²,harare north
Madokero - House,"$95,000",420 m²,harare west
Mahatshula - House,"$75,000",600 m²,bulawayo north
Mandara - House,"$390,000",4070 m²,harare east
Hogerty Hill - House,"$170,000",4190 m²,harare north
Chisipite - House,"$465,000",4000 m²,harare north
Glen View - House,"$28,000",300 m²,harare high density
Zengeza - House,"$28,000",200 m²,chitungwiza
Hatfield - House,"$85,000",2000 m²,harare south
Ryelands - House,"$650,000",4773 m²,harare north
New Marlborough - House,"$145,000",2021 m²,harare west
Mt Pleasant Heights - House,"$190,000",2000 m²,harare west
Madokero - House,"$110,000",450 m²,harare west
Waterfalls - House,"$290,000",12000 m²,harare south
Zengeza - House,"$25,000",200 m²,chitungwiza
Murambi - House,"$525,000",4141 m²,mutare
"Greystone Park - House, Townhouse Complex","$300,000",4000 m²,harare north
Matsheumhlope - House,"$260,000",5000 m²,bulawayo east
Philadelphia - House,"$240,000",4050 m²,harare north
Marondera - House,"$16,000",1000 m²,marondera
Haydon Park - House,"$90,000",808 m²,harare west
Ruwa - House,"$59,000",360 m²,ruwa
Arlington - House,"$550,000",3350 m²,harare south
Waterfalls - House,"$85,000",445 m²,harare south
Adelaide Park - House,"$25,000",200 m²,harare high density
New Marlborough - House,"$130,000",466 m²,harare west
Bluff Hill - House,"$250,000",3557 m²,harare west
Ashdown Park - House,"$105,000",460 m²,harare west
Greystone Park - House,"$390,000",1925 m²,harare north
Bloomingdale - House,"$90,000",3 bedrooms,harare west
Chitungwiza - House,"$26,000",300 m²,chitungwiza
Mt Pleasant Heights - House,"$190,000",2000 m²,harare west
Borrowdale - House,"$380,000",3000 m²,harare north
Glen Lorne - House,"$3,200,000",56658 m²,harare north
Burnside - House,"$160,000",3 bedrooms,bulawayo east
Avonlea - House,"$135,000",1073 m²,harare west
Ruwa - House,"$75,000",480 m²,ruwa
Madokero - House,"$105,000",400 m²,harare west
Helensvale - House,"$100,000",1600 m²,harare north
Suburbs - House,"$280,000",1487 m²,bulawayo east
KweKwe - House,"$198,000",3237 m²,kwekwe
Borrowdale - House,"$720,000",4047 m²,harare north
Mainway Meadows - House,"$70,000",540 m²,harare south
Glen View - House,"$28,000",200 m²,harare high density
Athlone - House,"$280,000",4100 m²,harare east
Umwinsidale - House,"$750,000",31840 m²,harare north
Springvale - House,"$65,000",300 m²,ruwa
Bellevue - House,"$75,000",1 bathrooms,bulawayo south
Aspindale Park - House,"$73,000",250 m²,harare west
"Avondale West - House, Townhouse Complex","$148,000",1 bathrooms,harare west
Budiriro - House,"$35,000",300 m²,harare high density
"Bluff Hill - House, Townhouse Complex","$165,000",500 m²,harare west
Norton - House,"$80,000",2100 m²,norton
"Greendale - House, Townhouse Complex","$110,000",500 m²,harare east
"Marlborough - House, Townhouse Complex","$140,000",623 m²,harare west
Hogerty Hill - House,"$500,000",4378 m²,harare north
Crowhill Views - House,"$115,000",1000 m²,harare north
Sentosa - House,"$110,000",1000 m²,harare west
Chinhoyi - House,"$110,000",2000 m²,chinhoyi
Palmerston - House,"$110,000",2000 m²,mutare
Kariba - House,"$62,000",678 m²,kariba
Mkoba - House,"$30,000",416 m²,gweru
"Newlands - House, Townhouse Complex","$285,000",200 m²,harare north
Tynwald - House,"$96,000",400 m²,harare west
The Grange - House,"$210,000",4047 m²,harare north
Kumalo - House,"$275,000",2709 m²,bulawayo east
Burnside - House,"$115,000",4046 m²,bulawayo east
Ruwa - House,"$75,000",407 m²,ruwa
Zengeza - House,"$20,000",300 m²,chitungwiza
Kariba - House,"$120,000",1 bathrooms,kariba
Eastlea - House,"$220,000",1000 m²,harare east
Cold Comfort - House,"$90,000",2753 m²,harare west
Hatfield - House,"$110,000",49100 m²,harare south
"Binga - House, Townhouse Complex","$70,000",2 bathrooms,binga
Kariba - House,"$150,000",3 bedrooms,kariba
"New Marlborough - House, House","$135,000",504 m²,harare west
Ardbennie - House,"$99,999",400 m²,harare south
Chadcombe - House,"$160,000",4431 m²,harare south
Rydale Ridge Park - House,"$45,000",300 m²,harare west
Norton - House,"$95,000",6240 m²,norton
Glen Lorne - House,"$250,000",6743 m²,harare north
Aspindale Park - House,"$65,000",200 m²,harare west
Westlea - House,"$97,000",1200 m²,harare west
Entumbane - House,"$20,000",200 m²,bulawayo north
Thorngrove - House,"$35,000",463 m²,bulawayo cbd industrial
Hogerty Hill - House,"$875,000",5600 m²,harare north
"Borrowdale - House, Townhouse Complex","$225,000",2000 m²,harare north
Mt Pleasant Heights - House,"$450,000",4001 m²,harare west
Marondera - House,"$150,000",17400 m²,marondera
Hogerty Hill - House,"$150,000",2009 m²,harare north
Old Windsor - House,"$140,000",1200 m²,ruwa
New Marlborough - House,"$98,000",540 m²,harare west
Tshabalala - House,"$24,000",330 m²,bulawayo high density
Mount Pleasant - House,"$220,000",4000 m²,harare north
Manyame Park - House,"$25,000",200 m²,chitungwiza
Borrowdale Brooke - House,"$480,000",1200 m²,harare north
Bluff Hill - House,"$140,000",1022 m²,harare west
Kuwadzana - House,"$30,000",200 m²,harare high density
Ryelands - House,"$360,000",4581 m²,harare north
Tynwald - House,"$50,000",200 m²,harare west
Aspindale Park - House,"$68,000",160 m²,harare west
"Gletwin Park - House, House","$420,000",3800 m²,harare north
"Eastlea - House, House","$500,000",1900 m²,harare east
Glen Lorne - House,"$280,000",4200 m²,harare north
Mainway Meadows - House,"$90,000",542 m²,harare south
Belgravia - House,"$1,000,000",2204 m²,harare north
Gletwin Park - House,"$265,000",2000 m²,harare north
Hillside - House,"$198,000",3600 m²,bulawayo south
Mt Pleasant Heights - House,"$230,000",2100 m²,harare west
Haydon Park - House,"$90,000",850 m²,harare west
Whitecliff - House,"$270,000",17000 m²,harare west
Eastlea - House,"$310,000",1558 m²,harare east
Mount Pleasant - House,"$750,000",4051 m²,harare north
Chitungwiza - House,"$17,000",200 m²,chitungwiza
Redcliff - House,"$45,000",1100 m²,redcliff
Avondale West - House,"$170,000",1390 m²,harare west
Chitungwiza - House,"$47,000",300 m²,chitungwiza
Greystone Park - House,"$280,000",4000 m²,harare north
Mandara - House,"$350,000",4046 m²,harare east
Shawasha Hills - House,"$360,000",2500 m²,harare north
Rusape - House,"$40,000",820 m²,rusape
Chinhoyi - House,"$21,000",352 m²,chinhoyi
Philadelphia - House,"$895,000",4600 m²,harare north
Kadoma - House,"$62,000",1681 m²,kadoma
Glaudina - House,"$60,000",300 m²,harare west
Hillside - House,"$198,000",3 bathrooms,bulawayo south
Kuwadzana - House,"$45,000",148 m²,harare high density
Arlington - House,"$135,000",380 m²,harare south
Famona - House,"$230,000",2613 m²,bulawayo south
Chitungwiza - House,"$30,000",200 m²,chitungwiza
Cowdray Park - House,"$27,000",200 m²,bulawayo high density
Pomona - House,"$105,000",2000 m²,harare north
Budiriro - House,"$45,000",300 m²,harare high density
St. Marys - House,"$28,000",300 m²,chitungwiza
Ruwa - House,"$45,000",350 m²,ruwa
Mahatshula - House,"$66,000",2 bathrooms,bulawayo north
Newlands - House,"$385,000",2666 m²,harare north
Marlborough - House,"$153,000",4000 m²,harare west
Quinnington - House,"$850,000",14164 m²,harare north
Glen Lorne - House,"$395,000",29431 m²,harare north
Monavale - House,"$120,000",500 m²,harare west
Msasa - House,"$85,000",3 bedrooms,harare east
Mainway Meadows - House,"$80,000",450 m²,harare south
"Matsheumhlope - House, House","$150,000",4047 m²,bulawayo east
Meyrick Park - House,"$110,000",1836 m²,harare west
"Cold Comfort - House, House","$65,000",400 m²,harare west
Chitungwiza - House,"$20,000",220 m²,chitungwiza
Chitungwiza - House,"$30,000",200 m²,chitungwiza
Kuwadzana - House,"$40,000",246 m²,harare high density
"Greendale - House, Townhouse Complex","$180,000",400 m²,harare east
"Newlands - House, Townhouse Complex","$260,000",2 bathrooms,harare north
Damofalls - House,"$34,000",300 m²,damofalls
Westgate - House,"$185,000",2360 m²,harare west
Chikanga - House,"$42,000",320 m²,mutare
Borrowdale - House,"$550,000",4000 m²,harare north
Belgravia - House,"$800,000",2704 m²,harare north
"Arlington - Townhouse Complex, House","$135,000",500 m²,harare south
Highfield - House,"$40,000",300 m²,harare high density
Morningside - House,"$99,000",2 bathrooms,bulawayo south
"Waterfalls - House, Townhouse Complex","$130,000",6500 m²,harare south
Budiriro - House,"$20,000",400 m²,harare high density
Zengeza - House,"$30,000",200 m²,chitungwiza
Southerton - House,"$63,000",672 m²,harare south
Budiriro - House,"$37,000",300 m²,harare high density
"Kumalo - House, Townhouse Complex","$160,000",700 m²,bulawayo east
Waterfalls - House,"$350,000",19000 m²,harare south
Tynwald - House,"$65,000",200 m²,harare west
Cranborne - House,"$169,500",714 m²,harare south
Waterfalls - House,"$95,000",500 m²,harare south
Kuwadzana - House,"$30,000",175 m²,harare high density
Masvingo - House,"$18,000",350 m²,masvingo
"Westgate - House, House","$190,000",2800 m²,harare west
Msasa Park - House,"$110,000",1000 m²,kwekwe
Greystone Park - House,"$600,000",4047 m²,harare north
Milton Park - House,"$450,000",2700 m²,harare west
Chadcombe - House,"$155,000",4200 m²,harare south
"Ruwa - House, House","$70,000",905 m²,ruwa
Westgate - House,"$150,000",1100 m²,harare west
Morningside - House,"$120,000",1712 m²,bulawayo south
Msasa Park - House,"$60,000",414 m²,harare south
Ruwa - House,"$48,000",400 m²,ruwa
"New Marlborough - House, House","$140,000",2000 m²,harare west
Greendale - House,"$340,000",4100 m²,harare east
Gunhill - House,"$230,000",2385 m²,harare north
Mainway Meadows - House,"$85,000",400 m²,harare south
Morningside - House,"$90,000",1875 m²,bulawayo south
Zengeza - House,"$38,000",1000 m²,chitungwiza
Southview Park - House,"$40,000",250 m²,harare south
Manyame Park - House,"$32,000",200 m²,chitungwiza
Mainway Meadows - House,"$80,000",540 m²,harare south
Whitecliff - House,"$60,000",450 m²,harare west
Borrowdale - House,"$1,900,000",4053 m²,harare north
Ashdown Park - House,"$450,000",8821 m²,harare west
Glen Lorne - House,"$1,050,000",13355 m²,harare north
Tynwald - House,"$100,000",1 m²,harare west
Hatfield - House,"$60,000",2000 m²,harare south
Strathaven - House,"$270,000",4 bedrooms,harare west
"Mabvuku - House, House","$16,500",180 m²,harare high density
